company_id,hubspot_deal_id,employee_sent_invitations_count,employee_first_invitation_sent_in_days,employee_accepted_invitations_count,employee_first_invitation_accepted_in_days,boss_sent_invitations_count,boss_first_invitation_sent_in_days,boss_accepted_invitations_count,boss_first_invitation_accepted_in_days,active_employees_count,work_schedules_count,adjustments_count,adjustment_suggestions_count,active_geofences_count,hour_parametrizations_count,reports_count,imported_afd_reports_count,vacation_requests_count,vacations_count,timetrackings_count,imported_timetrackings_count,days_to_decision,won
34540,9176755099,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,31,0
34541,9176803848,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,2,0,14,0
34542,9176845327,1,0,1,0,0,-1,0,-1,0,1,0,0,1,0,1,0,0,0,2,0,16,0
34544,9177154642,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,14,0
34546,9176577104,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34548,9177514577,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34549,9178416676,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
34550,9178360693,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34551,9178707269,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,21,0,14,0
34552,9178883218,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,2,0,0,0,1,0,16,0
34553,9178864545,2,0,1,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,9,0,1,0
34554,9178891864,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
34556,9179101203,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34558,9180177997,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34559,9180911117,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34561,9182111268,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34562,9182100019,2,0,2,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,13,0,24,0
34563,9182198054,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,12,0,17,0
34564,9182605972,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34565,9182712881,1,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,15,0
34566,9182636455,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,17,0
34567,9182658068,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,15,0
34569,9182659136,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,22,0
34571,9182816611,4,0,4,0,1,10,1,10,2,2,62,0,1,0,4,0,0,0,112,0,14,1
34572,9183722797,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
34573,9184706705,1,0,1,0,0,-1,0,-1,0,1,12,0,1,0,2,0,0,0,16,0,16,1
34575,9184924315,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,45,0,17,0
34576,9184968350,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34577,9185160843,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34578,9185144390,17,0,5,16,0,-1,0,-1,0,20,0,0,1,0,2,0,0,0,0,0,49,0
34581,9185331857,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34582,9185467301,1,0,0,-1,0,-1,0,-1,0,2,0,0,1,0,0,0,0,0,1,0,17,0
34583,9185728071,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34584,9186390547,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
34586,9186421629,0,-1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34587,9186626577,2,0,2,0,0,-1,0,-1,1,2,425,0,0,0,6,0,0,0,65,0,17,1
34588,9186722706,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
34589,9185922328,5,48,5,48,0,-1,0,-1,4,0,0,0,0,0,0,0,0,0,89,0,55,1
34590,9186705566,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
34591,9186865196,12,0,12,0,1,6,1,6,6,3,302,0,0,0,19,0,0,0,320,0,15,1
34592,9186913139,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
34593,9187015324,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,14,0
34594,9187039527,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34595,9186981302,1,3,1,3,0,-1,0,-1,1,1,1,0,0,0,0,0,0,0,24,0,21,1
34596,9187036824,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
34597,7017077403,1,1,0,-1,0,-1,0,-1,2,0,0,0,0,0,0,0,0,0,205,0,15,1
